id,title,transliteration
1,"سُورَةُ ٱلْفَاتِحَةِ",Al-Faatiha
2,"سُورَةُ البَقَرَةِ",Al-Baqara
3,"سُورَةُ آلِ عِمۡرَانَ",Aal-i-Imraan
4,"سُورَةُ النِّسَاءِ",An-Nisaa
5,"سُورَةُ المَائـِدَةِ",Al-Maaida
6,"سُورَةُ الأَنۡعَامِ",Al-An'aam
7,"سُورَةُ الأَعۡرَافِ",Al-A'raaf
8,"سُورَةُ الأَنفَالِ",Al-Anfaal
9,"سُورَةُ التَّوۡبَةِ",At-Tawba
10,"سُورَةُ يُونُسَ",Yunus
11,"سُورَةُ هُودٍ",Hud
12,"سُورَةُ يُوسُفَ",Yusuf
13,"سُورَةُ الرَّعۡدِ",Ar-Ra'd
14,"سُورَةُ إِبۡرَاهِيمَ",Ibrahim
15,"سُورَةُ الحِجۡرِ",Al-Hijr
16,"سُورَةُ النَّحۡلِ",An-Nahl
17,"سُورَةُ الإِسۡرَاءِ",Al-Israa
18,"سُورَةُ الكَهۡفِ",Al-Kahf
19,"سُورَةُ مَرۡيَمَ",Maryam
20,"سُورَةُ طه",Taa-Haa
21,"سُورَةُ الأَنبِيَاءِ",Al-Anbiyaa
22,"سُورَةُ الحَجِّ",Al-Hajj
23,"سُورَةُ المُؤۡمِنُونَ",Al-Muminoon
24,"سُورَةُ النُّورِ",An-Noor
25,"سُورَةُ الفُرۡقَانِ",Al-Furqaan
26,"سُورَةُ الشُّعَرَاءِ",Ash-Shu'araa
27,"سُورَةُ النَّمۡلِ",An-Naml
28,"سُورَةُ القَصَصِ",Al-Qasas
29,"سُورَةُ العَنكَبُوتِ",Al-Ankaboot
30,"سُورَةُ الرُّومِ",Ar-Room
31,"سُورَةُ لُقۡمَانَ",Luqman
32,"سُورَةُ السَّجۡدَةِ",As-Sajda
33,"سُورَةُ الأَحۡزَابِ",Al-Ahzaab
34,"سُورَةُ سَبَإٍ",Saba
35,"سُورَةُ فَاطِرٍ",Faatir
36,"سُورَةُ يسٓ",Yaseen
37,"سُورَةُ الصَّافَّاتِ",As-Saaffaat
38,"سُورَةُ صٓ",Saad
39,"سُورَةُ الزُّمَرِ",Az-Zumar
40,"سُورَةُ غَافِرٍ",Ghafir
41,"سُورَةُ فُصِّلَتۡ",Fussilat
42,"سُورَةُ الشُّورَىٰ",Ash-Shura
43,"سُورَةُ الزُّخۡرُفِ",Az-Zukhruf
44,"سُورَةُ الدُّخَانِ",Ad-Dukhaan
45,"سُورَةُ الجَاثِيَةِ",Al-Jaathiya
46,"سُورَةُ الأَحۡقَافِ",Al-Ahqaf
47,"سُورَةُ مُحَمَّدٍ",Muhammad
48,"سُورَةُ الفَتۡحِ",Al-Fath
49,"سُورَةُ الحُجُرَاتِ",Al-Hujuraat
50,"سُورَةُ قٓ",Qaaf
51,"سُورَةُ الذَّارِيَاتِ",Adh-Dhaariyat
52,"سُورَةُ الطُّورِ",At-Tur
53,"سُورَةُ النَّجۡمِ",An-Najm
54,"سُورَةُ القَمَرِ",Al-Qamar
55,"سُورَةُ الرَّحۡمَٰن",Ar-Rahmaan
56,"سُورَةُ الوَاقِعَةِ",Al-Waaqia
57,"سُورَةُ الحَدِيدِ",Al-Hadid
58,"سُورَةُ المُجَادلَةِ",Al-Mujaadila
59,"سُورَةُ الحَشۡرِ",Al-Hashr
60,"سُورَةُ المُمۡتَحنَةِ",Al-Mumtahana
61,"سُورَةُ الصَّفِّ",As-Saff
62,"سُورَةُ الجُمُعَةِ",Al-Jumu'a
63,"سُورَةُ المُنَافِقُونَ",Al-Munaafiqoon
64,"سُورَةُ التَّغَابُنِ",At-Taghaabun
65,"سُورَةُ الطَّلَاقِ",At-Talaaq
66,"سُورَةُ التَّحۡرِيمِ",At-Tahrim
67,"سُورَةُ المُلۡكِ",Al-Mulk
68,"سُورَةُ القَلَمِ",Al-Qalam
69,"سُورَةُ الحَاقَّةِ",Al-Haaqqa
70,"سُورَةُ المَعَارِجِ",Al-Ma'aarij
71,"سُورَةُ نُوحٍ",Nooh
72,"سُورَةُ الجِنِّ",Al-Jinn
73,"سُورَةُ المُزَّمِّلِ",Al-Muzzammil
74,"سُورَةُ المُدَّثِّرِ",Al-Muddaththir
75,"سُورَةُ القِيَامَةِ",Al-Qiyaama
76,"سُورَةُ الإِنسَانِ",Al-Insaan
77,"سُورَةُ المُرۡسَلَاتِ",Al-Mursalaat
78,"سُورَةُ النَّبَإِ",An-Naba
79,"سُورَةُ النَّازِعَاتِ",An-Naazi'aat
80,"سُورَةُ عَبَسَ",Abasa
81,"سُورَةُ التَّكۡوِيرِ",At-Takwir
82,"سُورَةُ الانفِطَارِ",Al-Infitaar
83,"سُورَةُ المُطَفِّفِينَ",Al-Mutaffifin
84,"سُورَةُ الانشِقَاقِ",Al-Inshiqaaq
85,"سُورَةُ البُرُوجِ",Al-Burooj
86,"سُورَةُ الطَّارِقِ",At-Taariq
87,"سُورَةُ الأَعۡلَىٰ",Al-A'laa
88,"سُورَةُ الغَاشِيَةِ",Al-Ghaashiya
89,"سُورَةُ الفَجۡرِ",Al-Fajr
90,"سُورَةُ البَلَدِ",Al-Balad
91,"سُورَةُ الشَّمۡسِ",Ash-Shams
92,"سُورَةُ اللَّيۡلِ",Al-Lail
93,"سُورَةُ الضُّحَىٰ",Ad-Dhuhaa
94,"سُورَةُ الشَّرۡحِ",Ash-Sharh
95,"سُورَةُ التِّينِ",At-Tin
96,"سُورَةُ العَلَقِ",Al-Alaq
97,"سُورَةُ القَدۡرِ",Al-Qadr
98,"سُورَةُ البَيِّنَةِ",Al-Bayyina
99,"سُورَةُ الزَّلۡزَلَةِ",Az-Zalzala
100,"سُورَةُ العَادِيَاتِ",Al-Aadiyaat
101,"سُورَةُ القَارِعَةِ",Al-Qaari'a
102,"سُورَةُ التَّكَاثُرِ",At-Takaathur
103,"سُورَةُ العَصۡرِ",Al-Asr
104,"سُورَةُ الهُمَزَةِ",Al-Humaza
105,"سُورَةُ الفِيلِ",Al-Fil
106,"سُورَةُ قُرَيۡشٍ",Quraish
107,"سُورَةُ المَاعُونِ",Al-Maa'un
108,"سُورَةُ الكَوۡثَرِ",Al-Kawthar
109,"سُورَةُ الكَافِرُونَ",Al-Kaafiroon
110,"سُورَةُ النَّصۡرِ",An-Nasr
111,"سُورَةُ المَسَدِ",Al-Masad
112,"سُورَةُ الإِخۡلَاصِ",Al-Ikhlaas
113,"سُورَةُ الفَلَقِ",Al-Falaq
114,"سُورَةُ النَّاسِ",An-Naas
